index,REQUESTID,STRSEGID,REQUESTTYP,Request_type,REQUESTDAT,Day,COMMENTS,USERTYPE,NEAR_INTER,NEAR_STR,SNA_NAME,0
3523,12329,2979373920529796109161,Other,Other,4/18/2018,Wed,My street is NOT a trash drop.  People walking and driving just toss their fast food trash when they are done.  I commented on it one time and the man threatened me.  People are just flat out pigs.,drives,OLD CHAPEL DR & POND RUN AV,BLUE ROCK ST,Westwood,
3524,12330,4518344884045187668780,Other,Other,4/18/2018,Wed,Why do people drop their trash all over and when there is a trash can nearby?,drives,POND RUN AV & OLD CHAPEL DR,OAK CREST AV,Westwood,
3525,12331,2957631066129576840373,Other,Other,4/18/2018,Wed,There needs to be a turn left only sign facing north on Epworth at the intersection of Harrison and Epworth.  There is currently only an left turn arrow painted on the pavement and it is fading.,travels (other),SQUIRE HILL CT & LAVERTY LN,BEEKMAN ST,Westwood,
3526,12332,2948234678729483397040,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,4/18/2018,Wed,"Apparently this law does not apply to the entitled. And this intersection needs a left turn arrow option.  It we had this, then red light running may be reduced.",drives,LAVERTY LN & SQUIRE HILL CT,BEEKMAN ST,Westwood,I agree
3527,12333,2978524950129787609366,Other,Other,4/18/2018,Wed,"People waiting for the bus drop their trash on the ground, and there is a trash can ,,, chicken bones, potato chip bags, white castle bags and containers.",drives,WYNDWATCH DR & HAWKINS RIDGE LN,BLUE ROCK ST,Westwood,
3528,12334,2978760936629788379317,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,4/18/2018,Wed,"When traveling east bound on I74 an on the on-ramp to travel north on to I75 vehicles DO NOT YIELD that are traveling from Hopple Street that appear on my passenger side.  It appears folks do not know what ""YIELD"" means.",drives,HAWKINS RIDGE LN & WYNDWATCH DR,BLUE ROCK ST,Camp Washington,
3529,12335,2957568092629576170661,Other,Other,4/18/2018,Wed,"Parking enforcement. Signs visible detailing parking for during school hours and otherwise, but not followed during events at the school. Not enough space for safe 2way traffic if cars are parked on the south bound side when they shouldn't be.",drives,BROOKE AV & SHERMAN AV,BEEKMAN ST,Westwood,
3530,12369,2957852952229481768967,""" src=""images/04 - Crossing away from crosswalks.png""></span>&nbsp;Jaywalking",Jaywalking,4/18/2018,Wed,There is a lot of suspicious activity going on around here,drives,SHERMAN AV & BROOKE AV,BEEKMAN ST,Walnut Hills,
3531,12404,2979102924829793739205,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,4/19/2018,Thu,Right Turn signal does not always come on to allow turns from Corbly to East bound Beechmont. Drivers turn against the no turn on red or use Salvador to avoid corner. Need to assure turn signal and a longer signal at all times!,drives,SHERMAN AV & COOLIDGE AV,BLUE ROCK ST,Mt. Washington,
3532,12405,4078255087940787540807,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,4/19/2018,Thu,There are 3-4 State approved Stop signs that are ignored most days in the Kroger lot. They have been moved or are at odd angles. They need to be permanently afixed and monitored.,travels (other),COOLIDGE AV & SHERMAN AV,ERIE AV,Mt. Washington,
3533,9729,4240279057042405730518,""" src=""images/06 - Speeding.png""></span>&nbsp;Speeding",Speeding,3/30/2018,Fri,There are speed bumps on N. Edgewood further down the street however no speed bumps on the northern half of N. Edgewood. People speed and there are many children who live in this area. We need speed bumps on N. Edgewood north of Froome.,walks,SHERMAN AV & ANTOINETTE AV,ERIE AV,Spring Grove Village,
3534,9730,4241824032542420440291,""" src=""images/09 - Failure to yield while turning.png""></span>&nbsp;Vehicles do not yield at crosswalks",Vehicles do not yield at crosswalks,3/30/2018,Fri,Many drivers do not yield to pedestrians. and even block the crosswalks when they have to stop.,walks,ANTOINETTE AV & SHERMAN AV,ERIE AV,Oakley,
3535,9745,4242916152142433301484,Parking too close to intersection,Parking too close to intersection,3/30/2018,Fri,This is true all down Warner between Clifton and Fairview.  It makes it hard to see into a lane of traffic for oncoming cars,drives,LATIFF LN & HITCHING POST LN,ERIE AV,CUF,I agree - and the cars speed on Warner also
3536,9746,5027812851950278859209,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,3/30/2018,Fri,"Most cars don't respect these crosswalks, even with the new stop for pedestrian signs.  Glad there are signs now on the street.",walks,HITCHING POST LN & LATIFF LN,INDIAN RUN,CUF,
3537,9747,3398475491533986364780,Parking too close to intersection,Parking too close to intersection,3/30/2018,Fri,Violating parking signs and blocking the sidewalks.,walks,WINDY HILL RD & LANETTE DR,FOREST AV,Over-the-Rhine,
3538,9761,3326452682633269086908,Lack of Visibility,Lack of Visibility,3/31/2018,Sat,Cars stopped in roundabout facing north can't see Madison Rd vehicles coming from the NE direction due to visual blocs in the Geier Esplanade.  Very dangerous to pull into Madison Rd from that side of roundabout.,drives,LANETTE DR & WINDY HILL RD,W 4TH ST,Oakley,
3539,9762,2920695044429307611059,Crosswalk Needed,Crosswalk Needed,3/31/2018,Sat,People from Mt Vernon Av & streets to the west of Mt V & north of Cadillac walk to Hyde Park Plaza via Mt V b/c Isabella's cars speed fast.  Distance tween existing xwalks at Isabella&Ferdinand are too far; people jaywalk across Paxton@MtV.,walks,OLD CHAPEL DR & HEARTHSIDE LN,DALTON AV,Oakley,
3540,9793,5019771194950105551942,Accessibility issue,Accessibility issue,4/2/2018,Mon,"The bars here have outdoor areas and the sidewalk has planters, the result of both creating a horrible ?Ç£chicane?Ç¥ effect for pedestrians walking in either direction. It?ÇÖs worse for people in wheelchairs. The planters need removing.",walks,HEARTHSIDE LN & OLD CHAPEL DR,GRAVES RD,Downtown,
3541,9794,2930990307729310423619,Other,Other,4/2/2018,Mon,Large proliferation of metal grates makes walking dangerous in icy weather and even when they get wet as they become slippy. An issue over the city incl the new ones outside Artworks on Jackson.,walks,COPPERGLOW CT & HEARTHSIDE LN,DALTON AV,Downtown,
3542,10049,3398189508433984404958,Lack of Visibility,Lack of Visibility,4/2/2018,Mon,"When pulling onto Sutton from Stanhill, it is difficult to see oncoming traffic due to the hill and cars parking very close to the intersection.",drives,HEARTHSIDE LN & COPPERGLOW CT,FOREST AV,Mt. Washington,
3543,10050,3986058528239960734928,Speeding,Speeding,4/3/2018,Tue,,drives,PADDISON RD & BERKSHIRE RD,W FORRER AV,East End,
3544,10051,3392710359136830613550,Speeding,Speeding,4/3/2018,Tue,"There is no traffic enforcement ever on this road, which is narrow and winding. Speed limits  are 35, but traffic is often over 45 mph.",walks,BERKSHIRE RD & PADDISON RD,FOREST AV,Mt. Washington,
3545,10052,3985988563939860585282,Parking on the sidewalk,Parking on the sidewalk,4/3/2018,Tue,"Kinsey is one lane going east and there is no parking on Auburn Ave any more, so people now park on the sidewalk.",walks,CEDAR CREST LN & CEDAR PT,W FORRER AV,Mt. Auburn,
3546,10053,3996059444439960644590,Other,Other,4/3/2018,Tue,Kinsey is one way but the signage is not clear. People drive the wrong way up Kinsey and as a one-lane road it is very dangerous.,drives,CEDAR PT & CEDAR CREST LN,W FORRER AV,Mt. Auburn,
3547,10673,3995547498339960734928,""" src=""images/13 - Roadway issue.png""></span>&nbsp;Parking on the sidewalk",Parking on the sidewalk,4/6/2018,Fri,People park in the bike lane all along this stretch of road.,bikes,WATCH POINTE DR & CEDAR PT,PERSHING AV,Spring Grove Village,
3548,10721,3399309396133995573938,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,4/7/2018,Sat,I walk this area twice a day to and from work and drivers turning right towards the hotel/Eden turn right on red without regards to pedestrians. Multiple times per week I see pedestrians almost getting hit. Very very dangerous.,walks,CEDAR PT & WATCH POINTE DR,FOREST AV,Corryville,
3549,11009,1173793915811746749550,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,4/9/2018,Mon,"I count when I am there everytime I need to cross the square - 1 out or very 4 persons run this red light.
It is extremely dangerous crosswalk, even with the signal!  People also speed through here.",walks,HIDDEN HILLS DR & WATCH HILL LN,LOWLAND RD,Mt. Lookout,
3550,11377,3811326971838114600113,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,4/11/2018,Wed,Running Red light/not stopping before turning right on Red,drives,WATCH HILL LN & HIDDEN HILLS DR,SHONA DR,Oakley,
3551,11378,3802714848238133940153,Jaywalking,Jaywalking,4/11/2018,Wed,,walks,JOETTA DR & MARCAROL LN,HIRSCH DR,Oakley,
3552,11379,3802911824638033437706,Parking on the sidewalk,Parking on the sidewalk,4/11/2018,Wed,,walks,MARCAROL LN & JOETTA DR,JOYCE LN,Oakley,
3553,11380,3956798893339572598861,Parking on the sidewalk,Parking on the sidewalk,4/11/2018,Wed,,walks,WINDY HILL RD & BROOKE AV,E SHARON RD,Oakley,
3554,11381,3957259886139580518738,Parking on the sidewalk,Parking on the sidewalk,4/11/2018,Wed,,drives,BROOKE AV & WINDY HILL RD,E SHARON RD,Oakley,
3555,11382,2882676948928830039455,Double Parking,Double Parking,4/11/2018,Wed,,drives,WINDY HILL RD & STORMY WY,W 8TH ST,Oakley,
3556,11681,0803398368708034053434,Crosswalk Needed,Crosswalk Needed,4/14/2018,Sat,"There are crosswalks on Stites and Eastern, yet none on McCullough and Eastern. There is a lot of new traffic with the brewery and POP restaurant. For those of us that live on Feemster Street, crosswalks are urgently needed. Thank you.",walks,STORMY WY & WINDY HILL RD,EDGEFIELD DR,East End,
3557,11697,5611077495356011165813,Other,Other,4/15/2018,Sun,Prostitutes walk up and down searching for tricks,walks,CHESTERTON WY & WETHERIDGE DR,EIGHT MILE RD,West Price Hill,
3558,11698,4077233970040772900250,Other,Other,4/15/2018,Sun,Prostitutes are actively looking for John's between Rutledge & Cleves Warsaw,walks,WETHERIDGE DR & CHESTERTON WY,EDWARDS RD,West Price Hill,
3559,11699,2883320942728836639391,Parking on the sidewalk,Parking on the sidewalk,4/15/2018,Sun,,walks,MEADOWBRIGHT LN & BAGDAD DR,W 8TH ST,East Price Hill,
3560,11745,2627596033726280279923,No Sidewalks,No Sidewalks,4/16/2018,Mon,Kids at Sands walk on this street and need a sidewalk,drives,BAGDAD DR & MEADOWBRIGHT LN,HERITAGE SQUARE DR,Mt. Washington,
3561,11953,3315830849833160188531,Double Parking,Double Parking,4/16/2018,Mon,Cars park in clearly marked no parking zones.,drives,MINARET CT & BAGDAD DR,W 8TH ST,Pleasant Ridge,
3562,11954,2741435545227414546073,Jaywalking,Jaywalking,4/16/2018,Mon,Children and adults do not use crosswalks and dart across ridge. I see it everyday as I travel this route. Downright scary. Total disregard from TCP parents.,drives,BAGDAD DR & MINARET CT,PIPPIN RD,Pleasant Ridge,
3563,12273,3357765874333579988785,Other,Other,4/17/2018,Tue,The street is too narrow to have cars parked on both sides of the street,drives,JOETTA DR & NATAMAC CIR,E 8TH ST,Hyde Park,
3564,12289,3860435041338604550632,Speeding,Speeding,4/18/2018,Wed,"Extremely high rates of speeds at all hours, high pedestrian traffic with families walking dogs and school kids in morning and afternoon. Very wide road with no markings and parking on only one side contribute to these speeds",walks,NATAMAC CIR & JOETTA DR,SPRINGFIELD PIKE,Westwood,
3565,12337,2794537609427945436207,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,4/18/2018,Wed,People tend to run the red light for many car lengths if someone is turning left.,drives,HOLZ AV & AUTUMNLEAF LN,SIMPSON AV,Westwood,
3566,12338,2794524596127945376094,Speeding,Speeding,4/18/2018,Wed,People drive too fast on Werk,drives,ROYALVIEW CT & ROYALGREEN DR,SIMPSON AV,Westwood,People drive too fast on the curve near McKinley.  House at the corner of Werk and Dunaway has had the front steps and railings wiped out at least 8 times.
3567,12339,2381815323323818773886,Speeding,Speeding,4/18/2018,Wed,People try to outrun the firetrucks when they leave the station rather than yield to them.  They also just drive too fast on Montana.,drives,ROYALGREEN DR & POND RUN AV,BOUDINOT AV,Westwood,I agree
3568,12340,4931506466853621884844,Speeding,Speeding,4/18/2018,Wed,This is a narrow road and people drive too fast coming down the hill.,drives,POND RUN AV & ROYALGREEN DR,DEERFIELD RD,Westwood,
3569,12341,2372539028023725600440,""" src=""images/05 - Red light running.png""></span>&nbsp;Vehicles run red lights or stop signs",Vehicles run red lights or stop signs,4/18/2018,Wed,"I see people daily, including Metro buses, fail to stop for stop signs and lights.  They do ""rolling stops"" which is a misnomer; either a person stops or they don't, there isn't anything in-between.",walks,HAMILTON HILLS DR & POND RUN AV,BOUDINOT AV,Westwood,
3570,12342,2410647344224107054038,""" src=""images/06 - Speeding.png""></span>&nbsp;Speeding",Speeding,4/18/2018,Wed,"There are speed humps on the street, but they don't really slow people down.  Some of the worst offenders are school buses.",walks,POND RUN AV & HAMILTON HILLS DR,COVEDALE AV,Westwood,
3571,12343,3370854880633708738978,""" src=""images/08 - Failure to yield while going straight.png""></span>&nbsp;Parking too close to intersection",Vehicles do not yield at crosswalks,4/18/2018,Wed,"This is constant, partially due to the drug activity that takes place in the neighborhood.",walks,ROSETREE LN & BESTVIEW TER,BURNET AV,Westwood,
3572,12344,4519420878345094499109,Lack of Visibility,Lack of Visibility,4/18/2018,Wed,On average there are ten cars parked on the street on both sides.  There is a bend in the road and one cannot see if there is a car coming from the other direction. Head on collision is to be expected soon.,drives,BESTVIEW TER & ROSETREE LN,ALPINE AV,Westwood,
3573,12345,5174835035551853231285,Other,Other,4/18/2018,Wed,Loitering and littering at the Library. Young children hang out and are very loud and without any supervision. They throw their trash on the ground when done.,walks,HIDDEN HILLS DR & HIDDEN GLEN DR,ASBURY RD,Westwood,Cars in left turn continuing straight and cutting in--same issue at Montana and Harrison.
3574,12346,4242044029142423560361,Other,Other,4/18/2018,Wed,"Need left turn arrows ,,,, people are running lights because they cannot turn when it is green.",drives,HIDDEN GLEN DR & HIDDEN HILLS DR,ERIE AV,Westwood,I agree.  Poor visibility of oncoming traffic due to incline makes it difficult to turn during the light.
3575,12353,4519420878345197398749,Speeding,Speeding,4/18/2018,Wed,There have been multiple serious car accidents at this intersection from speeding or failure to stop at the stop sign. One car flipped onto it's top a few years ago. There is a crosswalk here that is dangerous because of speeding.,walks,LANETTE DR & HITCHING POST LN,OAK AV,Westwood,"Agree- this area is a serious safety issue- speeding, failure to yield, plus the hill make this area terrible for pedestrians!"
3576,12354,4518766878045187768844,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,4/18/2018,Wed,"Vehicles do not stop, slow down, or yield for pedestrians in the crosswalk.",walks,HITCHING POST LN & LANETTE DR,HIGHLAND AV,Westwood,I agree- we cross here almost daily and maybe once  a month a person will stop. I've almost been hit while crossing when someone does stop as others will try to go around them!
3577,12385,4518776884445087989108,""" src=""images/09 - Failure to yield while turning.png""></span>&nbsp;Vehicles do not yield at crosswalks",Vehicles do not yield at crosswalks,4/18/2018,Wed,I use this crosswalk daily and drivers do not yield to me and I've almost been hit several times even after the yield signs were installed.,walks,BEECHMONT AV & TALLBERRY DR,HIGHLAND AV,Avondale,
3578,12386,4518776884445194208783,""" src=""images/C.png""></span>&nbsp;Crosswalk Needed",Crosswalk Needed,4/18/2018,Wed,A crosswalk is needed here as there is better visibility for drivers to see pedestrians than at the corner of Hickman,walks,TALLBERRY DR & BEECHMONT AV,OAK AV,Avondale,
3579,12401,6119944475561102964915,Speeding,Speeding,4/19/2018,Thu,Losantiville is a race track.  The speed limit is 35 moh (too high) but 40-45 is the usual speed.,drives,WOODRIDGE DR & TALLBERRY DR,ORIOLE CT,Pleasant Ridge,
3580,12402,4242356036142427770934,Other,Other,4/19/2018,Thu,Parking to pick up / drop off children at academy.  Parents have absolute disregard for traffic rules and park/stand to pick up children.,drives,TALLBERRY DR & WOODRIDGE DR,ERIE AV,Pleasant Ridge,
3581,12403,4685467532446855635848,Other,Other,4/19/2018,Thu,"The Reds are horrible.  The can not pitch, hit, or field.  How many years can be ""rebulding"".  The City needs to tax for each loss.  Give a financial incentive to win.",walks,WOODRIDGE DR & HONEYWOOD CT,STORMY WY,Downtown,
3582,12347,4242793155342429161521,Speeding,Speeding,4/19/2018,Thu,Posted speed limit is 35 miles an hour and most drivers do 40-50 going from Elston to Corbly!,travels (other),HONEYWOOD CT & WOODRIDGE DR,ERIE AV,Mt. Washington,
3583,12465,4242777093442427941543,No Sidewalks,No Sidewalks,4/19/2018,Thu,We have kids and I can?ÇÖt trust that people will slow down when driving on our street and it?ÇÖs only wide enough for 2 cars to pass with no shoulder.,walks,WAYSIDE CT & MEADOWBRIGHT LN,ERIE AV,Mt. Washington,
3584,12466,2862955709928630077217,No Sidewalks,No Sidewalks,4/19/2018,Thu,Cars driving too fast,bikes,MEADOWBRIGHT LN & WAYSIDE CT,WHITE ST,Mt. Washington,
3585,12545,4244379136942448441323,""" src=""images/09 - Failure to yield while turning.png""></span>&nbsp;Vehicles do not yield at crosswalks",Vehicles do not yield at crosswalks,4/20/2018,Fri,Crossing Harvey Road from UC employee parking lot can be dangerous.  Cars not stopping for pedestrians to cross.,walks,WAYSIDE CT & WAYSIDE PL,ERIE AV,Avondale,
3586,12929,4243842143542441901395,Other,Other,4/25/2018,Wed,There are vehicles parked too close to the crosswalk and I can never see if there are pedestrians crossing because there is always a car blocking my vision there. Thanks...,drives,WAYSIDE PL & WAYSIDE CT,ERIE AV,Westwood,
3587,13617,3351662914833518058979,Crosswalk Needed,Crosswalk Needed,4/29/2018,Sun,Speeding cars leave families and children to dangerously cross this four lane street on the regular. Crosswalk would make this high traffic area safer for both pedestrians and drivers alike.,walks,WAYSIDE CT & MOONKIST CT,CELESTIAL ST,Clifton,
3588,13674,4685146501446852145891,Lack of Visibility,Lack of Visibility,4/30/2018,Mon,Hard to safely turn onto Middleton as visibility is often blocked by parked cars,drives,MOONKIST CT & WAYSIDE CT,LANETTE DR,Clifton,
3589,13704,4685214589146852746418,Parking too close to intersection,Parking too close to intersection,4/30/2018,Mon,"When driving down Erkenbrecher, it is hard to see if there is anyone attempting to cross the street in crosswalk due to cars parked. Removing one or two parking spots on the SW side of crosswalk would be helpful and increase safety for pedestrians.",drives,EASTLAND TER & ROSETREE LN,LANETTE DR,Corryville,
3590,13705,4685563584846856076235,Speeding,Speeding,4/30/2018,Mon,I have a 5 year old with developmental issues which make him very unaware of the dangers of walking into the street. He would likely be hit by someone going 20 miles over the limit,walks,ROSETREE LN & EASTLAND TER,STORMY WY,Mt. Lookout,"Is it going to take a loss of life to get this area patrollled? Calls and in person visits to the police station haven?ÇÖt made a difference. ???? Cars are speeding up the hill from Beechmont  where it becomes Linwood.  Could use a light at Salisbury or just better patrolling of cars coming up that hill. Agreed. Needs to be patrolled not just on Beechmont, but coming onto Linwood"
3591,13705,4684858534746849265924,Speeding,Speeding,4/30/2018,Mon,I have a 5 year old with developmental issues which make him very unaware of the dangers of walking into the street. He would likely be hit by someone going 20 miles over the limit,walks,BONAIR CT & EASTLAND TER,BROOKE AV,Mt. Lookout,"Is it going to take a loss of life to get this area patrollled? Calls and in person visits to the police station haven?ÇÖt made a difference. ???? Cars are speeding up the hill from Beechmont  where it becomes Linwood.  Could use a light at Salisbury or just better patrolling of cars coming up that hill. Agreed. Needs to be patrolled not just on Beechmont, but coming onto Linwood"
3592,13705,3575457972235756199953,Speeding,Speeding,4/30/2018,Mon,I have a 5 year old with developmental issues which make him very unaware of the dangers of walking into the street. He would likely be hit by someone going 20 miles over the limit,walks,EASTLAND TER & BONAIR CT,ASHLEIGH CT,Mt. Lookout,"Is it going to take a loss of life to get this area patrollled? Calls and in person visits to the police station haven?ÇÖt made a difference. ???? Cars are speeding up the hill from Beechmont  where it becomes Linwood.  Could use a light at Salisbury or just better patrolling of cars coming up that hill. Agreed. Needs to be patrolled not just on Beechmont, but coming onto Linwood"
3593,13873,5999675816259899500522,Speeding,Speeding,4/30/2018,Mon,People SPEED very quickly on Paxton to make the next light between Observatory and Erie.  SPEED BUMP PLEASE!,bikes,ARTWOOD DR & EASTLAND TER,CAMP RD,Hyde Park,I agree. I live on Paxton and find this to be a big problem.
3594,13905,5989660094859897131386,Crosswalk Needed,Crosswalk Needed,5/1/2018,Tue,"Ludlow is 6 lanes wide, many cars travel over 40 MPH, not enough time to cross street.  Residents and students cross Ludlow to get to bus stop",walks,ARTWOOD DR & ANDERSON HILLS DR,DANIEL ST,Clifton,
3595,13906,5989660094859899930907,Speeding,Speeding,5/1/2018,Tue,Cars routinely speed over the hill from Clifton Hills Terrace toward Central Parkway,walks,EASTLAND TER & ARTWOOD DR,JACKSON ST,Clifton,
3596,13907,5989607057159899500522,Speeding,Speeding,5/1/2018,Tue,Cars exceed speed on Ludlow and don't slow down for curve or business district speed limit zone change (35 to 25).  Need a physical feature to slow traffic like a curb extension,walks,EASTLAND TER & ANDERSON HILLS DR,LINCOLN RD,Clifton,
3597,13908,1101942183411022051678,Speeding,Speeding,5/1/2018,Tue,Cars speeding up Ludlow.  Very dangerous to pull out of Clifton Hills Ave,drives,ANDERSON HILLS DR & ARTWOOD DR,MAIN ST,Clifton,
3598,13909,5989713138659800561373,""" src=""images/11 - Sidewalk issue.png""></span>&nbsp;No Sidewalks",No Sidewalks,5/1/2018,Tue,,walks,ANDERSON HILLS DR & EASTLAND TER,ADAMS LN,Clifton,
3599,13910,3047737608730480656057,""" src=""images/14 - Other issue.png""></span>&nbsp;Other",Other,5/1/2018,Tue,Road is full of potholes,drives,JEANNIE AV & ARTWOOD DR,CEDAR ST,Clifton,
3600,13911,3048790581430488226170,""" src=""images/C.png""></span>&nbsp;Crosswalk Needed",Crosswalk Needed,5/1/2018,Tue,,walks,ARTWOOD DR & JEANNIE AV,PERRY ST,Clifton,
3601,13912,3048822617030488706724,No Bike Facilities,No Bike Facilities,5/1/2018,Tue,PLEASE BETTER BIKING IN THIS CITY!,bikes,JOETTA DR & JEANNIE AV,PERRY ST,West End,
3602,13913,3803893701240342356743,No Bike Facilities,No Bike Facilities,5/1/2018,Tue,"There is not great merging from the end of the bike lane, specifically we you are trying to turn onto Central",bikes,JEANNIE AV & JOETTA DR,EAGLE CT,Over-the-Rhine,
3603,13914,3859943531038500005878,No Sidewalks,No Sidewalks,5/1/2018,Tue,"i live on Clifton Hills and see school children who walk on Clifton Hills Ave to DePaul Cristo Rey high school, often in the dark (there are no street lights). it's not ideal, but the one way traffic on CHA makes the children's walk much safer!",drives,SHARJOY CT & WHISPER LN,SPRINGFIELD PIKE,Clifton,
3604,13915,0676340824106770887639,Jaywalking,Jaywalking,5/1/2018,Tue,,walks,WHISPER LN & SHARJOY CT,HARRISON RD,Oakley,
3605,13916,3378710706733789377532,Speeding,Speeding,5/1/2018,Tue,,walks,AUTUMNLEAF LN & HOLZ AV,EUCLID AV,,
3606,13917,3379088890633891409363,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,5/1/2018,Tue,,walks,WATCH CREEK DR & PHILLIPS RD,EUCLID AV,Downtown,
3607,14193,3389140936333891439826,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,5/3/2018,Thu,Cars turning right onto Glenway from Werk do not yield to pedestrians.  The white walk light only stays for a short period. Pedestrians who are already in the street then have to dodge the cars who think they have the right of way.,walks,PHILLIPS RD & WATCH CREEK DR,EUCLID AV,Westwood,
3608,14209,3566515323835665703242,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,5/3/2018,Thu,Right turn vehicles do not yield to pedestrians when they are in the crosswalk,walks,BERKINSHAW DR & NIMITZ LN,NORTHLAND BLVD,Westwood,
3609,14194,GJ3265058636GJ3270058634,Lack of Visibility,Lack of Visibility,5/3/2018,Thu,Re: turning left from Werk onto Boudinot heading West there is a left turn lane but no left turn signal. Cars from the other direction who are turning left block the visibility of oncoming cars because of a dip in the road.,drives,NIMITZ LN & BERKINSHAW DR,FLAGSTONE DR,Westwood,
3610,14225,GJ3113060100GJ3128160050,Other,Other,5/3/2018,Thu,Dangerous sidewalks with big gaps/cracks in this area - specifically under the trees. I hurt myself from a fall while running.,walks,THORNWOOD CIR & AUTUMNLEAF LN,WESTERN AV,Clifton,
3611,14210,GJ3483960959GJ3490660910,Speeding,Speeding,5/3/2018,Thu,Cars completely ignore the school zone here. I diligently go the school speed limit and cars are constantly passing me and going around me. This should be a no brainer for the police to monitor/ticket.,drives,AUTUMNLEAF LN & THORNWOOD CIR,PINTO TRL,Hyde Park,I agree.
3612,14211,GJ3148263774GJ3149163714,Speeding,Speeding,5/3/2018,Thu,Speeding coming off of Beechmont on Linwood,walks,THOLE RD & NIMITZ LN,PUTTERWOOD CT,Mt. Lookout,I agree. There seem to be nightly races.
3613,14212,3819864222838103762792,Speeding,Speeding,5/3/2018,Thu,speeding going down/up the hill,drives,NIMITZ LN & THOLE RD,SUMMIT RD,Mt. Lookout,agree
3614,14213,3350899794133512527675,Other,Other,5/3/2018,Thu,Cars are constantly turning left onto Columbia Parkway westbound during the restricted hours when left turns are not allowed.  I drive this intersection almost every day and see this at least 3-4 times a week,drives,APPLE HILL RD & SALEM RD,EGGLESTON AV,East End,
3615,14529,3359831877333508997941,Parking too close to intersection,Parking too close to intersection,5/4/2018,Fri,Poor visability to cross chase,drives,SALEM RD & APPLE HILL RD,EGGLESTON AV,Northside,
3616,14530,3359449907133598318773,Crosswalk Needed,Crosswalk Needed,5/4/2018,Fri,Park neArby lots of foot traffic,walks,HIDDENPOINT LN & HIDDEN GLEN DR,EGGLESTON AV,Northside,
3617,14531,GJ3130559128GJ3143859135,Other,Other,5/4/2018,Fri,Stop sign on chambers to make it a 4 way stop,drives,HIDDEN GLEN DR & HIDDENPOINT LN,MERE DR,Northside,
3618,14532,4469636722044699456615,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,5/4/2018,Fri,Fast moving cars blow past red lights,walks,KENTUCKY VIEW & GWENDOLYN DR,CARPENTERS RUN,Northside,
3619,14545,4764825799647650867966,""" src=""images/C.png""></span>&nbsp;Crosswalk Needed",Crosswalk Needed,5/9/2018,Wed,Crosswalk needed at corner of Ridgeway and Harvey - already 3 crosswalks exist but none at the exit of UC Health Lot 4 to walk across to Business Center,walks,GWENDOLYN DR & KENTUCKY VIEW,MADISON RD,Avondale,
3620,14865,4763817811147638728103,Crosswalk Needed,Crosswalk Needed,5/11/2018,Fri,There are many children in the area because of the carousel and a crosswalk is needed. There should be a crossing as a continuation of the eastern sidewalk leading to the front door of the carousel.,walks,GWENDOLYN DR & STRATTON AV,MADISON RD,Downtown,
3621,15201,4075170137240756451718,""" src=""images/06 - Speeding.png""></span>&nbsp;Speeding",Speeding,5/11/2018,Fri,Cars need to slow down,drives,STRATTON AV & GWENDOLYN DR,MADISON RD,Westwood,
3622,15202,4760966842547614148375,""" src=""images/06 - Speeding.png""></span>&nbsp;Speeding",Speeding,5/11/2018,Fri,Bus pull off need to be installed on Montana to make the 3 lane configuration work during peak hours,walks,STONINGTON RD & WETHERIDGE DR,MADISON RD,Westwood,
3623,16465,3763617022037636670259,Other,Other,5/25/2018,Fri,Why is ther not a signal for people coming off of Markbriet Ave? Wouldn't it be safer to had a signal so traffic won't have to block cars from Isabella?,drives,WETHERIDGE DR & STONINGTON RD,MADISON RD,Oakley,
3624,17425,4074215065940751701372,Other,Other,6/2/2018,Sat,"Landslide in back yard of 24 Burton Woods Lane. Very dangerous and detrimental to neighboring homes. I'm a concerned resident on east Mitchell ave.Homes at 765 , 767 and 769 east Mitchell are in severe danger!",walks,WHITEHALL AV & AYERSHIRE AV,MADISON RD,North Avondale - Paddock Hills,
3625,17745,3216041051832161370953,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,6/5/2018,Tue,"In the CBD, vehicles run red traffic lights at every intersections at almost every light cycle.  There is no denying this ongoing, dangerous pattern.",walks,AYERSHIRE AV & WHITEHALL AV,COTTONWOOD DR,Downtown,
3626,12406,3020313977830203810428,Speeding,Speeding,4/19/2018,Thu,"I live, walk and drive on this street. There are more youngsters here now and people are driving way over the posted speed limit! They use it as a cut through to avoid Corbly and Clough. We need street calming speed bumps to slow traffic.",walks,LE CONTE AV & WHITEHALL AV,KLEINDALE AV,Mt. Washington,
